City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,gulf shores,30.246,-87.7008,295.93,62,20,3.09,US,1683873874
284,yelizovo,53.1873,158.3805,279.23,70,75,5.0,RU,1683873985
285,nar'yan-mar,67.6713,53.087,274.04,100,100,2.81,RU,1683873712
286,rongelap,11.1635,166.8941,300.73,83,13,7.65,MH,1683873688
287,brookings,44.3114,-96.7984,291.58,92,0,4.63,US,1683873783
288,padang,-0.9492,100.3543,305.18,69,16,2.24,ID,1683873985
289,wajir,1.7471,40.0573,301.13,65,40,5.14,KE,1683873985
290,crane,31.3974,-102.3501,295.87,11,0,1.85,US,1683873790
291,dudinka,69.4058,86.1778,260.72,89,74,6.71,RU,1683873681
292,blackfoot,43.1905,-112.345,285.67,61,98,1.08,US,1683873753
293,murashi,59.3999,48.9615,288.14,47,84,2.5,RU,1683873986
294,khark,29.2614,50.3306,307.16,26,0,0.0,IR,1683873986
295,songkhla,6.8333,100.6667,309.18,46,99,3.36,TH,1683873986
296,tabou,4.423,-7.3528,300.37,84,100,1.67,CI,1683873687
297,arkhangel'sk,64.5401,40.5433,286.62,60,28,2.02,RU,1683873729
298,raja,8.4596,25.678,305.1,43,38,2.29,SS,1683873986
299,khash,28.2211,61.2158,305.41,11,2,2.95,IR,1683873986
300,tura,25.5198,90.2201,309.34,22,100,2.17,IN,1683873677
301,tsiombe,-25.3,45.4833,301.74,49,4,1.69,MG,1683873834
302,otradnaya,44.3933,41.5206,286.52,67,18,3.47,RU,1683873986
303,puerto deseado,-47.7503,-65.8938,285.37,50,100,7.0,AR,1683873987
304,sultanah,24.4926,39.5857,303.4,9,0,2.06,SA,1683873861
305,banda aceh,5.5577,95.3222,304.38,64,100,3.84,ID,1683873789
306,wellington,-41.2866,174.7756,286.96,83,75,7.72,NZ,1683873738
307,fort bragg,35.139,-79.006,291.38,80,0,2.57,US,1683873789
308,tavricheskoye,54.5851,73.6395,285.1,31,1,4.43,RU,1683873987
309,touros,-5.1989,-35.4608,297.52,90,89,3.65,BR,1683873452
310,khandyga,62.6667,135.6,278.96,57,100,2.72,RU,1683873692
311,barabai,-2.5833,115.3833,307.44,51,83,1.5,ID,1683873987
312,sukumo,32.9333,132.7333,294.15,50,100,2.42,JP,1683873987
313,akureyri,65.6835,-18.0878,283.11,66,75,6.69,IS,1683873690
314,semey,50.4111,80.2275,286.27,62,40,5.0,KZ,1683873987
315,mount pearl,47.5166,-52.7813,274.9,74,40,5.66,CA,1683873688
316,saipan,15.1355,145.701,306.54,100,40,4.63,MP,1683873693
317,concepcion,-36.827,-73.0498,284.04,100,100,3.09,CL,1683873799
318,ketchikan,55.3422,-131.6461,284.14,87,100,3.09,US,1683873920
319,labrador city,52.9463,-66.9114,270.1,93,0,2.06,CA,1683873697
320,geraldton,-28.7667,114.6,298.38,44,47,6.69,AU,1683873698
321,jayapura,-2.5333,140.7,305.81,76,73,2.45,ID,1683873722
